VisCent-ContA	VisCent-ContB	VisCent-ContC	VisCent-DefaultA	VisCent-DefaultB	VisCent-DefaultC	VisCent-DorsAttnA	VisCent-DorsAttnB	VisCent-LimbicA	VisCent-LimbicB	VisCent-SalVentAttnA	VisCent-SalVentAttnB	VisCent-SomMotA	VisCent-SomMotB	VisCent-TempPar	VisCent-VisPeri
0.605052	0.943594	3.249124	3.580274	3.423821	1.637701	3.643238	0.406464	2.36319	2.578782	0.020581	4.095768	4.413562	1.78435	1.00948	5.499331
4.144842	2.415888	4.407051	1.500667	6.581161	1.057773	9.068214	2.562957	5.211073	4.558016	1.267602	5.764222	0.404809	6.016225	0.760577	2.395218
2.854752	0.676044	1.568336	1.49575	0.260409	6.068291	1.610707	0.457991	1.004354	4.164454	4.692987	3.13508	3.161963	5.4455	3.311031	1.292927
0.449665	0.797377	0.335416	2.176056	1.209061	0.853267	2.368548	0.977709	0.793985	0.630768	0.143371	0.345906	3.484793	1.242938	2.105928	2.057931
0.62347	7.032624	0.315556	0.636743	2.636993	1.588633	3.888327	2.419653	1.152061	0.292253	0.735359	0.363851	0.605711	1.570134	0.166668	3.813981
2.079269	1.112336	1.503728	3.909588	1.071759	0.350905	1.123255	0.809177	1.006579	0.671574	3.191407	3.085441	0.459352	4.186633	1.154935	1.543827
21.490644	10.812876	13.705185	23.814332	15.164498	16.009798	11.354328	8.392145	11.021365	4.235278	4.346914	1.294147	2.117338	4.762841	16.476948	0.364059
0.368491	3.677708	1.561453	4.481704	5.468217	3.825846	3.435167	1.287581	2.883465	1.201821	0.062553	0.193319	6.694232	13.893324	9.4809	0.250975
5.463951	10.277667	2.715617	2.518825	5.012715	2.282916	3.61334	1.554924	8.419182	0.585051	9.10952	0.368572	5.675891	2.159712	6.135192	5.510922
1.40381	7.117048	0.363025	1.459688	3.162612	0.338061	8.120479	5.574734	1.808441	0.612511	2.450274	0.344086	4.621281	1.183347	3.530868	4.569169
2.11434	5.009096	1.695342	3.148718	2.432526	0.810274	0.625818	11.166457	7.397051	8.525314	1.420213	7.172762	0.66931	1.164796	2.737452	1.788817
0.866942	0.924692	1.149788	0.135734	1.593339	3.229994	1.739214	0.485275	0.255998	0.933867	1.208497	0.546464	0.659686	1.199073	3.362602	0.349803
1.938899	2.359177	0.348428	1.407715	1.789396	1.09198	0.354074	1.086414	2.273081	1.768626	0.335804	1.531187	1.032235	4.387891	1.43463	0.794419
0.758225	3.27644	2.157151	1.561914	4.344128	2.605997	8.250668	1.149828	1.365511	0.395445	0.052991	1.726974	1.264147	0.18964	0.924834	0.307613
2.741302	2.901691	9.260456	9.530193	1.708578	2.11252	0.464075	7.726275	3.255615	5.247372	0.746169	3.111541	1.710615	17.443301	0.905466	0.245153
2.144213	1.75094	4.039988	0.424353	7.944103	1.628052	2.020836	1.417115	2.219957	0.237436	0.381098	0.212131	1.14665	7.527668	2.252986	0.437708
1.52417	2.9501	1.572935	0.615945	0.150113	6.271736	2.635475	1.108465	0.843084	3.420505	1.3244	2.16405	0.295625	0.441892	0.502171	0.173024
0.851974	2.386483	0.917698	1.385626	1.489137	4.778406	4.284142	3.034168	3.234529	1.202776	2.733968	3.441999	2.850775	5.444937	3.249182	1.937859
4.754885	2.078921	2.239418	5.517486	6.466008	8.958869	5.369412	7.656899	8.954296	3.897839	1.475705	3.169667	0.143497	0.60303	7.416482	1.101319
0.193718	1.930215	9.85137	6.335577	0.338874	7.112153	3.323816	0.480214	1.758772	0.138652	11.358915	0.44934	2.102195	10.06615	3.894828	1.858237
