VisPeri-ContA	VisPeri-ContB	VisPeri-ContC	VisPeri-DefaultA	VisPeri-DefaultB	VisPeri-DefaultC	VisPeri-DorsAttnA	VisPeri-DorsAttnB	VisPeri-LimbicA	VisPeri-LimbicB	VisPeri-SalVentAttnA	VisPeri-SalVentAttnB	VisPeri-SomMotA	VisPeri-SomMotB	VisPeri-TempPar	VisPeri-VisCent
7.478116	9.658614	2.938869	8.465873	3.955156	1.362275	3.766565	0.392508	5.053415	4.00903	0.974812	6.543771	26.415283	0.168993	0.69136	11.643014
2.195743	1.75049	15.86255	15.882906	6.833036	1.410039	2.301252	2.737104	8.332576	6.527709	3.722213	2.573483	10.431632	2.302757	0.119541	23.880924
0.43403	6.278753	0.687718	1.249818	0.076798	2.091684	1.519257	0.716159	1.000738	3.683171	0.409206	0.051103	13.530213	2.426503	7.833405	12.077633
5.881652	10.343412	0.603443	3.453103	5.062123	8.79005	1.721617	5.303523	9.274186	8.108382	4.279594	3.999912	8.991561	0.664411	5.890625	1.235003
16.17085	29.470146	6.861744	18.876072	9.776328	0.44646	0.702504	9.564692	28.505338	9.459909	4.049173	11.880334	16.865205	0.61615	0.198774	4.912554
2.962114	11.180162	4.264076	5.658638	21.047257	3.063556	0.697497	3.658887	7.810953	5.587259	0.989232	5.869811	7.497281	6.20178	3.810318	4.053731
3.598271	1.137956	1.471729	1.533812	3.976422	7.269766	0.501281	0.836684	3.658431	2.040569	0.583826	2.85482	7.428271	3.610397	2.631736	22.755128
5.447037	9.658466	1.461342	2.207408	11.988058	5.869732	2.336607	0.757501	5.653951	1.368072	1.130384	0.369769	22.278005	6.052177	1.363188	7.986453
1.895113	6.469372	1.429204	1.640152	0.77716	2.546902	3.88988	5.390437	5.190419	4.460307	3.518669	1.037562	5.481144	1.980385	0.184021	4.206062
1.207511	4.583987	3.834037	0.962354	0.865191	0.955126	0.233939	4.173281	3.51947	3.130816	0.741423	2.606261	0.073123	0.479606	0.045381	0.92156
4.166874	0.422713	3.123757	3.931735	2.770383	0.937422	2.237249	0.0741	3.985548	8.291273	2.600358	5.71054	5.843009	5.248575	1.528573	8.66737
15.44304	10.487324	7.890229	5.606584	13.53145	5.316324	6.957365	12.156335	15.933713	6.973122	12.6056	9.596811	4.711651	0.1232	2.973564	0.942811
8.349226	5.049709	2.252793	10.663383	5.453113	13.386514	0.182285	3.559368	5.037023	1.815313	1.359359	0.264364	1.253085	1.305404	7.609085	1.526614
10.011948	6.388375	2.377365	3.323827	1.200412	7.282646	1.588602	3.378677	9.775576	6.664534	0.66187	2.828213	26.303163	4.007556	1.572075	4.540562
