TempPar-ContA	TempPar-ContB	TempPar-ContC	TempPar-DefaultA	TempPar-DefaultB	TempPar-DefaultC	TempPar-DorsAttnA	TempPar-DorsAttnB	TempPar-LimbicA	TempPar-LimbicB	TempPar-SalVentAttnA	TempPar-SalVentAttnB	TempPar-SomMotA	TempPar-SomMotB	TempPar-VisCent	TempPar-VisPeri
0.103406	0.066107	1.649833	3.930105	3.678149	3.65933	2.132928	4.129172	1.485269	0.29304	3.211114	0.631484	2.093039	1.816834	1.893882	3.259671
5.709318	0.584357	7.255074	6.896573	3.704164	8.423668	1.522964	0.304995	6.660415	16.851406	1.498636	6.949916	0.819904	1.157156	1.577884	0.18659
5.334666	0.100148	4.278212	4.563082	3.337919	2.668904	0.587425	0.124234	5.430481	2.198673	0.588883	4.295633	1.863273	4.80583	0.358553	0.700863
19.466815	4.726968	12.313413	23.759557	2.225053	5.674005	5.940569	7.520352	16.460572	3.279053	15.175224	3.783199	8.545408	9.273402	17.219444	6.772918
0.145761	3.939077	6.360676	2.966422	4.339329	17.385325	9.848963	20.564426	3.093879	4.719102	15.800471	2.517762	5.121484	0.236125	2.697026	8.918372
0.527618	1.543032	1.787966	0.469839	1.156752	0.299284	1.003929	1.203221	0.02436	1.526736	0.742549	0.606255	0.128187	0.15172	1.187304	1.866884
0.600872	12.754892	11.819337	15.493611	1.291353	2.418728	0.666961	2.489119	5.3126	14.256248	8.3726	16.728648	3.301463	8.080234	6.518707	4.444759
4.679712	0.295633	5.203166	9.872748	1.729253	4.036428	3.358889	3.712461	4.890116	7.783947	3.318889	8.295594	1.26813	2.132712	2.130618	4.662462
1.531422	2.620257	1.054394	3.62689	1.503104	0.403976	2.875136	0.643632	0.917367	3.724991	7.650762	2.328672	0.299917	0.141506	2.006952	0.635192
1.069621	1.239772	3.077041	1.148853	2.073984	2.352765	11.097004	1.614883	0.672666	1.96641	1.667166	3.205855	10.423403	0.46676	5.669158	4.373429
5.113637	0.272266	1.969545	10.041637	14.302075	6.567771	0.488555	0.843585	3.912565	4.590358	0.233105	4.807064	1.650011	0.808277	1.196281	0.98135
0.618127	0.635595	0.613664	0.997148	0.7819	8.06396	1.515433	0.874006	0.545984	0.878759	1.365931	2.304882	2.177599	1.237283	7.299229	0.675001
0.970035	3.813331	0.702989	1.301727	5.535405	21.529325	12.455376	5.486755	1.460462	0.823136	11.273875	0.411872	4.01197	5.563112	0.120705	0.438699
2.410259	5.397702	8.459987	12.070484	8.1082	1.378347	0.101445	1.749055	0.925883	4.655066	10.37664	3.915296	2.331892	3.001767	5.289795	4.435345
3.185562	0.044108	1.360779	4.241277	7.654012	2.005277	2.728695	2.743587	3.75088	3.799556	4.183291	4.147426	0.292076	1.399147	0.036194	1.244968
0.792066	0.6229	2.961939	4.85903	0.205255	0.740562	1.840835	4.201278	2.599849	5.872395	4.257317	2.104106	4.11136	3.194529	7.568564	5.648342
3.034394	0.954922	1.140693	0.229898	0.312858	0.781131	4.209181	0.817146	4.577885	5.587021	4.284748	5.210146	0.074379	5.852979	3.286495	0.697259
1.331512	0.733586	0.427974	0.159549	2.50152	1.858769	2.783565	0.035534	1.103963	1.658829	0.160469	1.062958	0.411371	0.864199	0.293806	0.200298
3.708263	0.113371	6.373819	1.013886	0.737494	4.143798	11.52536	1.509803	5.918098	5.009883	10.258904	5.03558	0.256932	2.352772	1.144516	0.338435
1.275018	0.384862	1.475361	3.806325	4.035957	9.677008	4.804742	4.868826	1.055893	3.462148	20.391371	3.199275	3.746915	0.354594	3.264847	4.052552
0.469536	1.052175	6.365902	6.255431	0.91955	8.715874	2.041805	1.512796	1.434395	2.186582	2.590046	1.410956	2.623771	0.138716	2.799253	0.029863
0.271589	4.188223	1.763427	0.160702	0.038304	0.760765	0.06495	4.9583	5.575065	0.882811	1.959888	5.264678	0.024204	1.264487	0.587828	3.447977
1.2514	1.228414	2.047138	0.298722	0.706899	1.633226	3.285891	1.985177	2.517738	0.066888	5.517208	3.944075	4.458233	0.869494	1.736506	2.127392
5.605461	0.6704	0.129337	0.731123	4.140675	3.088634	11.336598	0.84864	3.986466	5.081829	11.070028	1.407928	0.404141	3.880422	3.131907	5.322306
0.538477	1.537751	1.839801	4.21388	0.927771	0.625883	0.090325	1.8019	2.179929	1.895942	4.307751	5.851724	6.202811	1.759267	2.204868	6.548899
1.22882	0.438634	0.535896	0.644695	0.288754	0.032423	1.221475	1.721023	1.094917	2.255081	0.722112	2.249758	2.265535	0.802532	2.744502	2.216624
3.627442	1.113115	2.265577	1.780987	1.606359	2.101593	10.061421	1.923375	2.06123	2.669015	1.829046	3.923484	1.022741	0.361572	5.089611	1.403981
2.35631	8.985947	8.248785	7.612382	3.612715	0.760009	3.948094	5.804441	2.446986	2.542522	0.671194	2.877627	4.910713	0.261096	7.166897	2.681442
0.976927	0.192959	2.860331	0.456335	0.251956	6.199302	3.59764	1.732786	0.783776	0.189849	4.408585	0.098749	0.702915	0.284545	0.021633	0.063948
12.103287	3.057202	1.456526	13.632055	3.406901	0.384981	1.753729	4.464202	12.964139	13.893865	8.072383	26.4393	0.875989	5.253134	3.216026	0.112494
3.20549	3.004826	0.455751	0.237568	0.50988	0.528114	0.097585	0.207483	2.687802	0.988883	6.618111	1.667738	0.650069	1.197834	0.207141	0.318601
0.503309	2.838644	0.315301	7.228961	0.42706	12.285532	1.614135	2.726522	2.547152	3.793382	3.324988	4.789937	3.79028	5.818549	0.256593	4.654706
6.226561	2.953107	1.137861	0.272826	2.098191	0.271952	0.905101	1.200108	3.504829	2.807612	4.325681	2.604341	4.079857	0.029214	4.27495	0.103665
5.187894	0.068402	1.168832	4.677356	9.02136	0.228595	8.355934	4.626809	6.264163	7.484342	6.196422	8.293185	1.8247	0.484634	3.09858	1.583323
2.263521	0.280337	0.198162	0.301365	0.096073	0.346806	3.707845	2.780831	1.206292	1.551354	5.443614	2.042913	6.003249	5.23247	2.386151	4.241751
3.987337	1.251387	1.16425	1.105553	2.986391	7.78837	2.023858	0.319958	5.923441	4.358687	0.222733	0.837911	0.26019	1.901082	1.285045	6.754211
