DorsAttnB-ContA	DorsAttnB-ContB	DorsAttnB-ContC	DorsAttnB-DefaultA	DorsAttnB-DefaultB	DorsAttnB-DefaultC	DorsAttnB-DorsAttnA	DorsAttnB-LimbicA	DorsAttnB-LimbicB	DorsAttnB-SalVentAttnA	DorsAttnB-SalVentAttnB	DorsAttnB-SomMotA	DorsAttnB-SomMotB	DorsAttnB-TempPar	DorsAttnB-VisCent	DorsAttnB-VisPeri
3.933027	2.850427	2.648477	0.276016	0.114125	0.059536	5.405946	0.464673	0.385159	14.117289	0.444305	0.821636	2.074306	0.844015	1.841087	2.958304
5.211507	0.631615	9.877178	2.510486	0.396439	0.069852	6.961708	5.331903	6.588935	10.332259	8.313793	0.731943	0.495615	0.242343	8.586141	0.698342
0.33241	0.041169	1.269831	1.138813	1.937761	2.091193	5.216632	2.079799	2.132446	1.807655	1.01333	2.402583	1.812035	0.896621	1.896143	1.176699
2.679084	4.594161	1.157469	4.032834	5.076642	3.792355	1.074582	5.249525	4.025385	0.59007	1.453097	7.504773	1.378426	1.217832	0.464741	2.192856
1.182553	4.172331	2.412826	3.112092	6.785011	7.134026	12.328484	3.207986	1.15942	0.107026	1.222685	4.355539	2.142496	1.582141	2.045536	0.92671
3.119226	1.715392	0.53794	2.67825	7.392861	13.569257	3.889471	4.742379	0.559989	10.683291	6.792208	1.218827	7.758863	9.087187	7.061199	1.146719
7.380425	8.677724	0.22042	4.257473	0.509075	0.198967	0.73315	5.018897	1.914438	1.988775	1.459267	2.401254	0.355529	0.303398	3.273076	8.782862
4.407131	0.342367	2.420979	1.382287	0.274557	2.914735	2.701271	8.557397	6.440507	3.369112	5.650044	0.727534	1.032711	0.305786	0.246411	1.448993
8.374216	4.721562	8.858399	6.741427	2.517635	5.056038	1.001343	21.713993	15.080789	11.919882	32.872142	0.004997	1.185611	0.232398	4.588805	1.296322
0.033298	0.448943	2.832699	7.065139	2.469491	1.263962	0.078484	1.835431	6.528015	3.946593	3.097814	4.211484	1.903135	0.688276	1.135723	3.787338
7.333278	3.007234	1.669748	1.785768	0.27847	2.077313	11.44857	7.081894	4.283897	8.549433	0.717502	1.961224	0.660764	2.893931	3.967912	0.416832
0.693647	1.237513	0.2783	0.592095	0.178349	1.825878	2.733037	0.262296	1.141004	0.625827	0.363998	1.539376	0.318506	0.734925	1.659182	0.408285
4.244774	1.963701	1.467725	3.405258	1.815993	3.110093	5.170947	0.772581	2.604393	1.685763	0.750213	0.061204	0.64294	0.253928	3.143013	0.842064
4.928116	8.126069	3.082118	3.014775	0.780384	1.188791	4.702563	7.134619	7.29825	8.001716	3.80015	4.31088	5.254836	7.704279	1.0006	6.195705
1.154791	0.059892	2.558455	0.772988	0.317591	0.214488	5.841951	3.986691	3.58331	0.957329	3.424637	1.008007	4.708849	1.49564	8.148149	1.846635
0.27504	1.337093	7.084358	5.461712	1.196269	0.143523	2.864249	3.013123	6.322247	12.105723	4.280518	3.679682	4.685888	0.081522	2.063275	0.528964
0.599117	1.102408	2.398976	0.590877	0.10171	1.013874	1.509057	0.396767	5.925945	0.214018	4.278245	0.908719	1.242462	3.98433	3.022369	2.795278
2.938782	2.972126	2.752709	3.139986	2.002013	2.401982	0.531273	7.745264	2.484374	0.219112	2.070845	7.78261	4.806977	3.569988	1.664606	6.787158
1.857415	1.723442	13.235501	11.554818	9.123933	0.827176	5.57239	2.437487	6.522853	2.280756	8.444076	0.397254	3.651488	4.858072	9.779394	0.224583
0.086656	1.936333	0.415725	0.027439	0.507117	0.304269	5.923401	0.174595	0.184769	7.754225	3.881292	3.328021	1.485437	0.437972	1.761556	0.244687
1.845606	1.985932	1.139306	2.309628	3.961042	1.338357	1.560139	2.178455	4.607463	2.990358	4.424132	6.017991	10.756144	0.707957	2.430557	7.193575
2.059771	3.933314	1.482626	2.019448	5.281653	1.529631	4.787971	3.253079	0.962737	1.714638	0.418913	2.729041	4.862956	0.211727	0.880326	1.453101
2.747215	10.37157	7.002247	2.896085	0.577515	0.897056	6.313035	3.695809	2.988228	5.648456	4.578363	6.679157	10.016629	0.886772	0.55668	4.080173
9.496744	5.504768	0.372383	2.375185	0.793083	1.401046	2.969473	5.882812	1.389516	6.973213	0.30129	2.779651	4.285635	1.383466	2.500387	0.078953
5.432118	3.784251	0.395825	0.237565	2.350501	1.885769	0.33427	1.63248	0.645238	0.93673	1.261385	1.320351	2.342115	0.273864	0.052071	1.276048
2.254735	1.527525	0.794847	2.843327	3.242406	0.042418	9.42892	1.899436	2.318497	2.052472	2.962194	3.980622	3.241553	0.398354	3.345526	4.176877
