SomMotB-ContA	SomMotB-ContB	SomMotB-ContC	SomMotB-DefaultA	SomMotB-DefaultB	SomMotB-DefaultC	SomMotB-DorsAttnA	SomMotB-DorsAttnB	SomMotB-LimbicA	SomMotB-LimbicB	SomMotB-SalVentAttnA	SomMotB-SalVentAttnB	SomMotB-SomMotA	SomMotB-TempPar	SomMotB-VisCent	SomMotB-VisPeri
0.631404	0.012573	3.686551	5.086626	1.114839	0.967094	0.190825	1.356617	0.702873	2.084901	0.020988	3.17833	1.950441	9.727967	0.860088	0.540849
3.093629	0.163568	0.312305	4.374754	2.678617	0.138724	3.562529	0.818881	2.277092	0.837198	0.625356	3.247786	1.777018	0.63859	4.535636	1.349518
8.724604	8.561327	6.315263	6.759567	3.620602	2.010651	1.472847	0.988857	11.802379	3.317899	1.170512	2.201367	3.19614	0.284954	0.613927	2.135688
0.514715	2.821798	2.511863	5.139667	0.341711	0.588852	0.538388	1.451909	0.067751	1.588824	1.8156	1.964561	10.267712	0.70412	7.832262	2.465052
0.463952	1.045152	0.154611	2.361041	0.425517	2.13672	2.389533	1.407607	0.572646	0.651743	3.271314	1.068121	0.306272	6.040423	1.103461	3.452101
1.309906	9.729072	5.162208	6.174328	8.805327	4.072859	2.833701	0.974357	1.730453	4.599654	3.36731	0.952813	7.848268	3.805108	3.206816	1.416836
1.080871	4.001195	4.136091	4.335273	1.174486	1.391704	0.32542	0.75823	1.222045	3.033711	8.545719	1.302372	1.050441	3.525712	3.611136	0.414691
0.202797	3.402387	1.249988	0.021178	0.561365	0.99593	4.656394	0.56202	0.608424	1.527607	2.29488	0.735266	0.158218	0.778258	1.366524	2.618373
0.2045	2.157881	1.68141	0.264428	0.596224	4.185418	1.889576	0.512248	0.296584	0.413014	1.460061	0.050429	12.573147	6.498988	6.477251	5.881489
1.251789	3.957966	1.312521	4.646995	6.126224	5.347577	0.699849	0.510847	1.210224	0.800365	6.543562	1.226616	5.496318	1.862754	3.987407	3.231267
5.851755	12.075018	0.311428	1.332936	6.430317	5.357943	1.541263	1.802764	6.279727	5.988637	4.221955	1.321918	9.939081	4.090757	6.342567	6.605893
2.853483	4.417433	6.696401	1.875817	4.45643	9.482613	0.666439	0.641302	0.828194	0.835725	0.551038	4.43195	4.592083	2.90834	2.48699	1.806347
3.473725	12.17305	4.00345	8.664236	13.867112	6.017823	0.808965	1.689803	5.845633	3.955422	1.564289	0.575172	3.664934	11.917034	0.773931	2.87302
1.503173	0.901225	4.43212	3.108772	5.892103	0.905371	2.048703	1.068208	3.114159	1.953658	1.018104	3.011443	6.532908	1.68842	5.09535	2.919567
