DefaultB-ContA	DefaultB-ContB	DefaultB-ContC	DefaultB-DefaultA	DefaultB-DefaultC	DefaultB-DorsAttnA	DefaultB-DorsAttnB	DefaultB-LimbicA	DefaultB-LimbicB	DefaultB-SalVentAttnA	DefaultB-SalVentAttnB	DefaultB-SomMotA	DefaultB-SomMotB	DefaultB-TempPar	DefaultB-VisCent	DefaultB-VisPeri
1.074725	3.694116	1.695397	0.528376	1.014703	0.142367	0.294922	0.231315	0.542423	0.899694	1.653519	0.100953	0.135263	3.677926	0.522414	0.051754
0.351143	1.36178	9.173898	6.794967	0.784564	4.284944	1.230762	0.348442	6.649496	2.606406	2.79486	4.767633	1.02559	0.044378	3.663077	4.377447
4.580725	0.437588	5.491687	3.469563	1.111067	2.07484	0.65797	2.348165	3.777166	0.72853	0.124601	7.237126	3.978438	2.156397	2.929836	3.0897
1.421122	0.274944	2.61086	2.892148	0.147994	6.2766	0.654168	2.482818	7.451418	2.859335	2.239454	0.826015	4.520327	0.695514	2.646867	0.186192
7.726135	4.374015	18.945948	2.228832	0.67154	11.300958	5.1595	11.463336	21.630699	4.388504	1.795752	5.132162	2.115437	1.219606	0.865891	10.118145
1.908571	1.060493	2.758635	5.698403	0.530993	2.43877	1.721998	1.598366	4.198973	0.260444	1.265262	5.701137	1.053192	0.795448	1.556341	3.55181
2.378528	7.566754	2.657793	4.87586	6.275991	13.855412	1.15541	0.223564	13.37686	0.130734	2.458274	2.005288	10.167196	0.491137	2.347449	2.213332
1.940947	10.747922	2.1575	0.648114	1.988458	10.174315	8.577764	1.387488	0.796206	1.052506	0.230134	1.984121	5.474411	3.911049	2.187466	3.609328
2.384244	2.388384	0.938765	6.737656	9.856882	3.105321	15.005221	0.931034	1.893943	5.541523	0.162819	4.281013	0.895912	2.398208	0.718186	6.622966
5.078305	5.209429	0.219208	0.600438	3.219512	2.106959	9.714455	2.397015	2.983045	0.476418	0.913826	3.55422	3.73392	3.546916	2.490745	4.231223
0.363954	4.974616	2.878042	3.165913	18.156051	12.185788	2.800118	0.249121	6.58683	0.684769	1.301045	7.160623	1.493834	13.795576	0.705358	13.582809
0.310973	2.474318	2.369455	4.366203	3.406947	5.915959	0.763621	0.984674	4.464691	2.342144	4.419615	2.861607	4.300916	2.102869	2.754647	8.658052
