ContA-ContB	ContA-ContC	ContA-DefaultA	ContA-DefaultB	ContA-DefaultC	ContA-DorsAttnA	ContA-DorsAttnB	ContA-LimbicA	ContA-LimbicB	ContA-SalVentAttnA	ContA-SalVentAttnB	ContA-SomMotA	ContA-SomMotB	ContA-TempPar	ContA-VisCent	ContA-VisPeri
3.034784	14.435654	7.269674	7.855033	9.47972	2.122996	1.404673	23.755286	10.514479	0.454305	1.484407	0.34023	1.747051	6.717864	2.316445	0.980701
7.700155	3.351592	0.941677	1.030735	1.157861	0.057662	2.525512	14.519158	3.009615	0.215401	5.131708	2.889327	3.356097	0.213252	0.093723	0.414522
6.368951	3.338014	14.2881	3.167397	1.993011	1.872297	1.31239	17.5385	13.361177	2.144188	20.399221	3.410922	2.302391	0.871417	4.267472	0.250111
1.614482	0.969322	1.060664	2.725091	1.117165	0.414656	0.697564	5.680349	9.130371	3.074881	3.293078	0.961865	1.037103	0.471632	0.478354	0.596999
5.78667	3.141171	6.994789	3.691099	0.526079	0.303757	2.207195	23.703671	8.948548	4.967637	7.213668	4.493476	1.901975	0.018939	0.141819	0.510828
6.827386	0.921991	0.931451	0.657422	0.103873	0.225258	1.629416	3.95124	4.262322	1.275143	2.625812	1.056768	1.251329	1.032154	1.068887	1.717292
10.688646	4.296219	2.898503	0.016004	1.075067	0.134145	5.300653	27.287017	3.359203	1.750334	2.728045	1.489535	0.430614	3.65403	0.278941	1.253461
3.072383	4.299802	3.302502	2.41429	0.219626	1.728127	1.555902	16.152181	3.318193	2.289662	0.146981	6.32611	2.002933	0.361987	1.754209	3.370516
0.335676	1.388069	0.56874	1.237602	0.028588	1.348907	1.30848	6.922286	4.172531	1.643025	4.38901	2.613378	7.207905	2.893335	12.043266	3.45958
3.999427	2.993018	3.439753	3.701598	0.382791	1.403647	1.403891	17.759794	11.13253	2.493642	5.673718	8.049291	3.818045	0.139684	7.0046	3.094309
10.492864	11.236922	11.854775	18.212994	1.345533	7.274434	2.676301	39.90619	26.915492	2.981343	5.960701	2.040657	2.844094	0.308528	5.252259	5.766693
1.156223	0.68849	4.236187	5.640743	2.405127	7.475913	1.550658	27.890425	12.917345	0.51095	7.164935	12.086479	0.294896	3.572172	1.092572	4.831203
10.468564	0.792823	2.444191	9.623421	1.42302	1.769633	4.87466	9.704376	17.686383	1.220899	0.780998	14.061332	6.317408	3.711293	0.875663	4.49293
2.967574	2.859547	2.422121	2.745668	0.336563	3.142703	0.985785	23.549771	14.802359	2.452497	2.18834	0.148856	1.372535	0.413476	0.340519	0.703576
8.974403	6.904767	8.760737	9.140698	5.564338	1.680319	3.32538	9.803991	3.546371	0.336079	5.26953	1.926718	3.642954	1.727203	3.480993	1.637197
8.8251	0.379404	1.011668	0.779869	3.478911	1.067163	3.07343	26.317952	2.608141	2.955755	7.201117	1.433813	2.985546	6.791468	12.484979	5.803476
16.156792	0.37081	2.110092	7.177434	1.715866	1.551292	3.372514	35.597908	1.013095	4.34692	3.140744	6.343192	2.024035	0.629492	1.253001	6.583324
3.56846	8.6698	7.131147	7.607486	0.022403	0.549202	0.864823	46.571509	16.04533	0.094365	10.667435	8.295138	0.083731	0.037618	0.152354	4.055224
5.703511	9.206452	26.933678	10.509301	0.049997	5.016965	1.681675	23.016333	22.922003	0.247223	16.563659	15.535236	5.028914	0.225512	0.91008	1.860458
