ContC-ContA	ContC-ContB	ContC-DefaultA	ContC-DefaultB	ContC-DefaultC	ContC-DorsAttnA	ContC-DorsAttnB	ContC-LimbicA	ContC-LimbicB	ContC-SalVentAttnA	ContC-SalVentAttnB	ContC-SomMotA	ContC-SomMotB	ContC-TempPar	ContC-VisCent	ContC-VisPeri
2.280699	0.250296	15.876308	1.459814	3.418822	1.25262	3.787912	0.428052	5.457873	4.829429	3.387164	1.269967	4.677838	4.759224	0.489166	0.022239
0.695847	3.466968	5.24054	7.782448	1.261977	4.135244	0.580235	3.70371	4.013872	0.621759	2.023102	0.828051	1.629632	0.596965	0.444088	0.386161
9.319468	11.615983	19.258149	16.02455	8.889809	0.394301	1.735184	16.03793	7.716771	0.363706	5.806926	0.862203	2.68574	2.419478	5.84611	2.316146
1.107403	1.263148	11.717443	9.274828	1.12605	7.590984	8.841662	6.647195	16.856941	0.354246	3.284507	2.221595	2.116684	0.384902	1.476757	2.049973
0.86592	0.561249	2.231946	1.291557	1.673442	4.124567	1.965551	0.196299	7.744714	2.209984	1.835044	1.357588	0.300883	2.156953	0.96709	1.708913
32.634437	12.916822	24.61515	14.290495	3.524094	6.025823	2.716927	31.234342	19.973616	5.72789	4.288949	12.444742	16.239917	0.153138	1.06622	7.253863
0.525768	1.724707	6.520998	1.327387	0.031161	3.822502	0.359954	0.053793	3.681663	1.215134	0.404857	2.292231	2.264908	4.283183	2.134967	0.754222
10.341381	6.461147	14.870109	7.182933	3.703169	1.302191	4.38584	20.696875	5.14024	0.505832	3.713099	0.415997	7.147836	0.689597	1.283582	0.291764
11.153132	0.047651	0.379973	1.07732	0.303478	0.643746	0.4628	5.630615	1.680569	0.158507	1.242638	2.375634	1.575507	0.053333	7.849076	1.852608
0.492808	5.191241	13.906829	3.050999	0.258923	1.171789	2.196336	3.565312	5.235608	3.789921	4.754115	2.330045	0.123087	0.225609	0.127194	1.180729
6.244897	2.348458	4.136838	8.706829	0.199307	3.95929	1.21748	1.993469	17.603512	1.134258	4.143685	0.616295	0.159076	2.798572	1.705308	0.61501
2.130749	1.732614	2.658219	1.824338	1.636912	4.418729	1.001159	4.31764	6.55983	1.262668	1.131096	2.125176	1.430057	0.096113	0.196562	4.036295
0.950653	3.427192	16.712831	14.4297	7.813902	4.823297	0.257507	0.043482	14.835968	3.842439	1.834219	1.531265	0.333961	9.172853	2.718488	1.912223
1.057264	4.141702	7.003857	1.057234	5.093175	1.730642	1.355281	2.981175	6.537419	0.560445	1.159749	3.29626	0.045159	5.047052	0.207733	1.381436
2.398668	5.343976	3.690823	2.938724	2.107014	0.688947	4.479443	1.294825	10.786915	0.753135	4.931077	6.79112	5.014336	0.409092	0.579912	5.229087
13.649142	11.255996	5.709203	16.517497	19.032928	4.196144	7.478509	18.019772	13.097981	2.213416	8.672793	0.383498	1.236977	9.15793	23.079609	1.012972
3.699177	3.906344	17.847669	8.428615	1.631372	0.418363	0.061054	5.446361	9.950596	0.735448	1.760089	4.949235	5.959254	1.698466	1.130583	1.248546
0.543219	7.631393	3.325499	4.750022	11.491728	1.559927	1.094229	6.422771	7.914996	3.432905	5.652713	5.362084	6.171685	21.650727	1.643559	2.541595
0.421515	0.64113	6.545179	1.588941	1.232297	0.023571	1.613216	0.255358	0.600417	2.461682	0.007519	0.664507	0.845792	2.726313	1.842794	0.828157
1.708453	2.42335	6.590977	4.585345	0.316291	1.91244	0.091736	6.121278	17.250691	0.105064	4.779439	0.193968	0.798093	1.302648	2.17762	0.689077
5.072458	2.375883	10.438597	4.366553	0.273279	3.01168	2.793958	3.500355	8.131838	4.000223	1.46795	1.957123	2.704845	0.695291	2.070241	2.218476
1.358828	1.304329	9.059908	3.594809	4.561215	6.322881	5.744997	6.12165	24.293125	1.268979	9.001285	2.951892	1.122557	7.542633	1.629227	0.712457
0.709942	0.100829	20.016214	7.612179	0.703847	1.256797	1.112671	0.84868	1.307104	3.301802	1.453038	0.387543	1.874032	0.870053	0.954029	1.248466
0.91067	1.834217	19.244212	1.175391	4.99185	3.760559	2.939253	1.574658	12.576209	1.197628	5.736661	2.117255	10.981705	6.205871	9.857595	0.904256
0.537482	1.172205	5.408332	13.046548	6.192473	0.991316	1.102294	1.375854	5.931601	4.304475	0.499443	3.640328	3.68886	9.936273	2.159403	9.087322
0.363202	3.665752	9.972816	1.239874	7.18491	3.567753	3.552301	2.166354	2.448896	1.366595	0.585128	0.045181	1.433574	0.761053	1.723692	0.001078
3.55931	4.183837	10.04923	2.889638	0.667502	1.416605	0.846455	0.530453	2.913546	0.70385	1.197393	0.260601	2.05378	0.249868	1.285562	0.265056
8.068465	3.166493	13.121169	16.461376	5.009838	0.761421	7.476146	15.077012	11.392147	0.40626	2.229813	1.386854	6.732841	5.626618	7.182053	0.211311
1.782059	0.202575	9.355532	1.89371	0.429599	4.871088	2.398247	3.794708	3.08429	1.265641	1.025986	2.330093	4.77152	2.316635	0.40319	0.883419
4.869645	4.792087	20.619038	7.076427	1.393296	1.141987	0.863503	7.219466	5.044177	0.158279	0.481137	10.97568	2.999686	0.789679	0.252299	6.998326
