SalVentAttnB-ContA	SalVentAttnB-ContB	SalVentAttnB-ContC	SalVentAttnB-DefaultA	SalVentAttnB-DefaultB	SalVentAttnB-DefaultC	SalVentAttnB-DorsAttnA	SalVentAttnB-DorsAttnB	SalVentAttnB-LimbicA	SalVentAttnB-LimbicB	SalVentAttnB-SalVentAttnA	SalVentAttnB-SomMotA	SalVentAttnB-SomMotB	SalVentAttnB-TempPar	SalVentAttnB-VisCent	SalVentAttnB-VisPeri
0.701119	1.786164	10.325319	7.203669	3.455142	0.977753	0.073116	4.336787	6.622653	34.619929	3.299377	3.167984	1.049683	6.372979	0.052031	3.225981
10.456274	4.28036	2.545112	2.657644	4.384511	3.841501	1.621428	0.866048	4.541165	17.988359	15.410666	2.660285	1.83191	0.077664	1.397973	2.772015
2.010805	1.66173	7.169978	3.121306	4.000945	2.577534	2.516152	3.212755	7.620909	9.326677	1.577286	1.861369	3.269333	0.743914	0.171434	0.457992
12.975073	1.104778	1.149548	4.032827	2.13277	0.916435	0.728451	10.764587	14.128436	54.728146	15.249017	8.681287	1.783037	1.98832	1.967497	1.665191
17.627249	9.453192	5.792333	17.33208	14.634211	1.257169	0.272013	15.046424	25.045645	41.699142	14.623422	24.096589	4.611254	1.398227	4.079026	7.214859
4.890827	1.512184	0.609765	1.28331	3.702961	2.939351	0.792644	0.371963	16.444731	36.507302	10.217224	13.005722	2.001909	0.640023	2.960713	6.593033
2.916827	1.054047	1.205416	3.437745	0.711514	4.434176	1.899244	1.628332	3.05669	14.483732	4.850389	9.553159	2.884466	0.112284	2.094533	4.444927
9.786882	0.610175	2.276873	7.085043	6.358966	2.022839	3.650396	5.917146	17.338979	49.573312	11.768558	19.952721	3.734701	2.719452	1.207808	5.700109
3.150888	1.265872	1.232414	0.997515	1.649996	5.482116	1.40363	14.421356	9.899381	29.01841	3.806112	3.902805	1.916716	3.1342	0.80337	1.592785
3.751996	0.863101	5.598817	2.085641	0.848646	4.962179	0.3383	0.089831	6.740772	31.665392	17.771963	12.216932	1.309878	0.142894	6.539718	8.903709
8.727274	2.549188	8.451481	6.03711	1.769443	1.210842	1.40117	15.725007	10.792644	39.274626	11.932256	5.853624	1.074207	3.042668	1.980655	1.724052
9.029913	0.347456	0.00088	17.114056	6.150306	0.020718	0.624107	1.786104	7.416764	26.340703	6.233668	10.495757	7.696088	0.57787	4.926832	5.550074
2.239373	0.478591	1.463722	2.599596	1.821334	2.650385	3.754311	6.700053	0.689677	29.88054	12.013279	1.798347	0.786231	2.126366	0.600288	2.587415
3.487538	0.497505	4.465687	3.766946	4.882117	0.154207	0.001807	0.402895	7.556077	35.57576	10.401814	4.513724	0.358477	1.989507	1.079491	1.798124
5.90922	4.716307	4.889115	5.351923	10.763663	6.401346	1.460127	2.641344	17.289222	3.741055	6.389077	1.531817	0.11831	2.305914	0.73268	1.97083
2.344435	2.736311	10.653961	11.101183	13.39153	2.456206	3.101376	0.678504	7.105484	38.310976	9.73018	4.526254	0.76475	2.75816	0.605166	1.465857
4.173617	0.991765	0.301677	1.461364	1.089422	0.776486	1.198827	3.242924	2.944788	17.060353	6.681048	2.539574	1.971753	0.71915	0.324147	2.463037
12.6753	10.585382	12.024446	16.154148	11.937919	0.777522	1.006975	5.50327	15.836278	35.595176	6.99283	22.013521	3.213869	1.2282	0.511814	2.866085
8.915759	2.281689	24.569716	25.933017	5.483377	0.899005	1.007589	6.010452	22.905575	49.395687	34.163284	0.088283	0.406373	2.328666	12.226207	2.758263
5.908111	1.70094	0.087704	4.12381	0.229219	3.288385	1.40133	5.06806	6.417737	34.938328	10.418686	2.52034	3.629577	9.197685	3.690028	10.199175
19.733003	9.180731	6.250098	12.77891	8.948066	0.048755	0.500907	3.385616	26.101567	32.629763	0.413513	12.555188	2.769173	0.599381	1.131792	8.04868
0.570784	3.709311	2.950595	5.216795	1.451851	1.312182	0.352181	1.621596	2.644083	9.020942	0.183271	0.864146	0.885387	4.479589	0.460186	2.045139
0.47203	0.632539	3.215331	0.140387	4.901942	6.85824	0.091626	5.515416	3.693632	6.116209	6.894492	0.288832	2.199497	14.195539	0.399279	0.646452
14.68787	2.211389	3.741994	1.461136	0.170097	0.246787	4.927543	4.546816	12.065304	36.461489	0.076343	10.039505	0.385758	0.063755	1.747297	6.825725
10.561356	0.759128	7.336483	9.581576	2.712957	1.618065	4.968638	1.678688	15.813022	21.18729	1.831285	2.479506	0.515573	1.03875	3.843122	1.771013
9.353689	9.024714	6.340294	4.532145	12.919849	1.948334	0.011116	4.733253	6.866466	25.888185	33.923065	1.295348	1.009394	2.939608	2.309052	8.26425
4.391848	4.056125	6.66631	12.301279	8.014048	0.649416	0.087675	3.832661	4.924872	35.633933	33.990627	0.232492	2.532404	3.605704	0.371527	0.293181
16.707678	1.530988	20.294072	12.928147	20.046131	4.557206	4.260889	6.082812	34.67345	57.51093	21.057804	4.301882	2.160355	0.71305	0.615738	2.786288
13.834516	6.424138	1.811101	11.00046	6.992887	1.509462	4.973221	2.621146	11.331517	23.83153	2.024011	6.028896	3.698453	0.706157	1.918738	8.263906
9.660175	1.556895	0.527834	2.876795	0.323882	0.405864	1.216245	7.742029	2.510575	14.213074	2.684172	3.640906	0.526487	0.071735	1.446127	5.256696
15.091009	1.818383	14.872202	40.627455	6.382357	3.622227	0.949638	9.994979	39.773822	92.904489	25.798112	14.470658	1.063248	10.341875	0.555407	6.331115
18.627469	0.563914	3.124779	10.576504	17.884128	0.872943	1.949176	9.036984	20.568146	66.008991	5.782976	4.84788	3.519678	0.535107	1.188322	0.634612
1.779375	0.884805	8.523422	17.282953	1.271867	3.516118	1.95764	3.737214	9.206621	39.859914	18.029413	7.620925	2.864256	3.348068	1.911684	3.203708
8.860455	1.268789	20.281137	22.365366	10.547482	0.131381	0.656923	9.658286	25.441684	62.852809	0.957111	3.745368	2.871163	4.191508	3.521842	3.100474
0.00863	0.405293	0.468128	1.125912	0.096703	0.630614	1.434052	5.337157	2.153181	19.44753	3.818659	1.70285	0.94743	0.865877	0.016589	1.077801
