DefaultA-ContA	DefaultA-ContB	DefaultA-ContC	DefaultA-DefaultB	DefaultA-DefaultC	DefaultA-DorsAttnA	DefaultA-DorsAttnB	DefaultA-LimbicA	DefaultA-LimbicB	DefaultA-SalVentAttnA	DefaultA-SalVentAttnB	DefaultA-SomMotA	DefaultA-SomMotB	DefaultA-TempPar	DefaultA-VisCent	DefaultA-VisPeri
6.920973	0.871144	21.721102	4.641734	3.761861	5.513215	4.65928	5.881482	6.74031	1.164469	0.988224	8.973487	2.302599	1.561531	0.118089	2.969262
2.974876	1.205216	0.62739	8.62855	2.036953	6.526678	1.354306	0.954711	13.608984	3.356311	3.392303	7.482002	7.09049	0.029529	1.088394	5.956235
3.356165	1.558769	5.818071	5.824191	3.642856	4.304516	9.336437	2.6262	3.924586	2.658106	0.169851	3.061882	0.479251	8.113418	0.236703	3.097142
0.30314	1.080809	27.760001	1.953908	1.793784	9.202729	0.838674	3.09131	4.762574	1.31109	5.132761	3.512426	1.945066	1.147129	1.044298	0.905715
1.296247	1.208564	3.242361	5.534696	0.834852	1.029865	2.8911	7.051018	13.216459	1.042622	2.758708	3.124047	3.16027	1.220223	2.553513	5.481361
2.098916	11.63359	50.790673	12.26322	0.173909	4.005599	1.066588	4.78533	39.269733	2.799259	11.923943	0.411328	5.822215	6.442711	0.13268	4.075584
17.521662	24.795505	36.77521	50.294743	35.658853	10.707819	2.746099	28.093598	31.894406	12.042355	1.598535	18.441228	2.366123	6.05808	4.149428	10.617269
0.85454	5.465552	20.545159	15.861743	0.633651	0.274575	0.741364	0.961544	12.105232	0.63086	4.741674	5.219895	1.496609	0.292509	2.366989	0.466572
5.637206	5.381734	35.220782	3.137851	1.283289	0.848142	5.703565	13.178344	23.37578	11.908562	9.447464	2.445312	2.006706	1.174061	16.329097	3.276465
1.775763	0.23358	18.166834	13.45879	0.278212	0.549619	0.580902	5.149341	6.18224	0.331332	4.276252	3.75563	0.084503	0.561101	1.59557	2.932897
5.798274	2.471037	31.769494	14.776119	0.399448	2.86202	0.393065	6.804585	7.461038	1.546403	3.72041	3.978477	5.758687	0.150279	0.265695	1.806609
15.010175	24.340976	5.823551	17.250385	14.834221	2.145216	6.082764	17.167176	19.476562	0.144698	2.602237	14.804505	5.287235	1.268788	0.412041	8.005381
0.094807	4.173865	11.299407	2.231134	0.717046	1.05608	0.629302	16.335469	30.362277	2.164886	8.662809	0.739059	1.638389	9.499299	7.283489	4.620908
1.273511	1.747248	3.661432	7.596773	6.814565	5.009973	0.689926	5.325597	3.595296	6.749985	3.618763	4.366114	6.193955	3.047284	0.094357	0.971321
1.893601	7.201325	17.054485	3.449267	0.946624	1.186522	0.374553	1.584447	11.708442	3.070845	3.138233	3.57655	0.127064	0.1322	3.438808	0.54121
8.488064	13.332297	37.497611	27.779649	2.167191	1.80251	11.800052	19.097874	49.005417	17.681285	23.698478	1.183911	0.600283	3.853737	18.359682	4.735817
8.480701	5.02105	12.424995	17.554606	0.33072	4.976909	4.703152	3.591484	20.801647	1.965568	2.867489	0.796631	2.082786	0.505311	2.689934	4.749359
2.448252	0.775849	48.25453	21.088071	4.238028	1.424523	4.45813	6.517866	20.539688	7.166385	2.966301	1.805679	3.973864	0.060462	1.465569	0.700959
3.789459	4.471121	18.499374	4.891051	0.754812	7.531128	0.820706	4.331217	13.692786	0.778565	7.136988	1.09289	2.893412	2.02174	0.582558	0.299191
2.965127	1.566055	2.850942	2.974351	0.470688	0.018743	0.314957	2.080546	11.646573	0.141858	0.571762	0.010007	1.830038	0.459643	0.705463	0.027391
0.83069	3.844159	15.090482	0.45793	7.969797	0.030531	0.066336	1.67995	8.710317	1.300941	5.503574	2.660483	0.735152	1.566662	1.160051	8.804102
9.766797	0.567941	7.809015	26.36974	4.917841	2.133765	2.241399	6.388471	16.839102	12.257595	3.99615	2.119259	2.829502	1.29681	2.49561	2.633184
0.140546	0.449572	14.603945	0.104313	0.150356	4.386713	0.475582	3.627509	10.300591	12.423268	1.693262	4.574824	0.433011	2.082822	1.018069	4.47093
1.094328	1.72762	12.192727	5.550694	3.158243	8.647422	2.537703	3.009053	14.707353	1.382026	10.134266	3.072606	5.176323	1.409625	2.115053	2.043753
4.447858	0.591672	22.746882	1.94494	2.259471	4.057465	0.081052	9.807243	7.673835	1.807141	4.105409	3.004893	2.206852	4.857078	4.406387	0.62545
6.805646	4.298028	23.867313	13.039398	8.787273	13.787484	7.049787	11.335764	11.220389	0.71453	8.481775	1.644963	0.689655	2.262985	9.315295	2.122513
16.393569	4.494193	49.302649	25.320783	0.3714	12.787222	2.687505	31.954831	24.32494	7.389221	0.590135	3.231555	5.081766	0.448265	2.435835	5.970201
3.055868	0.205961	16.065698	1.790181	0.306848	0.490519	0.372003	4.791524	7.710062	1.465048	8.683731	3.020209	0.564598	6.903951	1.130389	4.230702
2.196177	3.279645	11.939735	10.110689	4.730292	1.968193	3.934486	10.248301	23.558756	1.293103	8.707639	4.306849	13.45946	3.996939	3.247023	2.578785
6.164896	0.468735	14.526726	3.975345	0.943179	2.229788	0.740902	9.453053	13.77335	0.124315	12.220182	0.432904	1.121272	2.686076	1.636856	0.42781
4.03179	2.622169	5.001693	4.440713	5.674355	0.428417	7.31526	14.412858	11.629565	0.866392	2.072636	0.878969	2.235236	0.836737	0.703051	4.032488
0.155117	2.741869	2.367331	2.32258	1.649703	3.280582	5.09142	1.01609	10.723758	2.706569	1.210651	1.652437	0.653734	6.305193	6.815487	3.741919
